algorithm,dataType,n,timeMs,comparisons
merge_lcp,almost,2800,3.48225,47168
quick3way,almost,2800,4.02592,114314
msd_radix,almost,2800,5.56775,0
msd_radix_qs,almost,2800,1.02275,20499
std_sort,random,2900,5.76088,55292
stable_sort,random,2900,6.67658,43205
merge_lcp,random,2900,4.84204,72541
quick3way,random,2900,1.34779,34285
msd_radix,random,2900,6.62362,0
msd_radix_qs,random,2900,0.988625,15403
std_sort,reverse,2900,0.5545,12327
stable_sort,reverse,2900,2.17963,32155
merge_lcp,reverse,2900,3.40488,44720
quick3way,reverse,2900,4.86246,141142
msd_radix,reverse,2900,10.5289,0
msd_radix_qs,reverse,2900,6.94529,47725
std_sort,almost,2900,1.07221,21840
stable_sort,almost,2900,1.96467,27043
merge_lcp,almost,2900,3.58408,48542
quick3way,almost,2900,4.03117,118386
msd_radix,almost,2900,7.85746,0
msd_radix_qs,almost,2900,1.06992,21155
std_sort,random,3000,5.40996,58411
stable_sort,random,3000,3.36104,45083
merge_lcp,random,3000,4.67479,75399
quick3way,random,3000,1.42938,36402
msd_radix,random,3000,10.6211,0
msd_radix_qs,random,3000,2.26183,16322
std_sort,reverse,3000,0.626666,12759
stable_sort,reverse,3000,2.38662,33652
merge_lcp,reverse,3000,3.53175,46249
quick3way,reverse,3000,5.29529,147751
msd_radix,reverse,3000,6.98538,0
msd_radix_qs,reverse,3000,2.11604,50189
std_sort,almost,3000,1.36675,22461
stable_sort,almost,3000,6.5855,28719
merge_lcp,almost,3000,5.12092,51774
quick3way,almost,3000,4.10288,124997
msd_radix,almost,3000,6.71508,0
msd_radix_qs,almost,3000,1.11767,22563
